Genome,GenomeName,Proteins,Reference,Size_Kb,realm_reference,realm_prediction,kingdom_reference,kingdom_prediction,phylum_reference,phylum_prediction,class_reference,class_prediction,order_reference,order_prediction,family_reference,family_prediction,subfamily_reference,subfamily_prediction,genus_reference,genus_prediction
NC_034620.1,Sulfolobus islandicus rod-shaped virus 9,58,True,36.391,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Usarudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_034621.1,Sulfolobus islandicus rod-shaped virus 5,57,True,36.306,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Usarudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_034623.1,Sulfolobus islandicus rod-shaped virus 8,61,True,36.493,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Usarudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_034624.1,Sulfolobus islandicus rod-shaped virus 11,50,True,33.356,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Usarudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_034625.1,Sulfolobus islandicus rod-shaped virus 10,49,True,32.735,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Usarudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_034627.1,Sulfolobus islandicus rod-shaped phage 6,56,True,35.439,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Usarudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_034628.1,Sulfolobus islandicus rod-shaped virus 4,54,True,35.035,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Usarudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_005830.1,Captovirus AFV1,40,True,20.869,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Ungulaviridae,Ungulaviridae,,novel_subfamily_0_of_Ungulaviridae,Captovirus,Captovirus
MN876844.1,Pyrobaculum filamentous virus 2,39,True,17.602,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Primavirales,Primavirales,Tristromaviridae,Tristromaviridae,,novel_subfamily_0_of_Tristromaviridae,Alphatristromavirus,Alphatristromavirus
NC_029548.1,Pyrobaculum filamentous virus 1,39,True,17.714,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Primavirales,Primavirales,Tristromaviridae,Tristromaviridae,,novel_subfamily_0_of_Tristromaviridae,Alphatristromavirus,Alphatristromavirus
NC_038931.1,Thermoproteus tenax virus 1,37,True,13.669,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Primavirales,Primavirales,Tristromaviridae,Tristromaviridae,,novel_subfamily_0_of_Tristromaviridae,Betatristromavirus,Betatristromavirus
NC_007409.1,Bicaudavirus pozzuoliense,72,True,62.73,,Adnaviria,,novel_kingdom_0_of_Adnaviria,,novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,Bicaudaviridae,Bicaudaviridae,,novel_subfamily_0_of_Bicaudaviridae,Bicaudavirus,Bicaudavirus
NC_006268.1,Sulfolobus virus STSV1,74,True,75.294,,Adnaviria,,novel_kingdom_0_of_Adnaviria,,novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,Bicaudaviridae,Bicaudaviridae,,novel_subfamily_0_of_Bicaudaviridae,,novel_genus_0_of_novel_subfamily_0_of_Bicaudaviridae
NC_020077.1,Sulfolobus virus STSV2,75,True,76.107,,Adnaviria,,novel_kingdom_0_of_Adnaviria,,novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,Bicaudaviridae,Bicaudaviridae,,novel_subfamily_0_of_Bicaudaviridae,,novel_genus_0_of_novel_subfamily_0_of_Bicaudaviridae
NC_023585.1,Sulfolobus monocaudavirus SMV1,51,True,48.775,,Adnaviria,,novel_kingdom_0_of_Adnaviria,,novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,Bicaudaviridae,Bicaudaviridae,,novel_subfamily_0_of_Bicaudaviridae,,novel_genus_1_of_novel_subfamily_0_of_Bicaudaviridae
NC_029011.1,Sulfolobus monocaudavirus SMV4,68,True,51.711,,Adnaviria,,novel_kingdom_0_of_Adnaviria,,novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,Bicaudaviridae,Bicaudaviridae,,novel_subfamily_0_of_Bicaudaviridae,,novel_genus_1_of_novel_subfamily_0_of_Bicaudaviridae
NC_029020.1,Sulfolobus monocaudavirus SMV2,65,True,50.918,,Adnaviria,,novel_kingdom_0_of_Adnaviria,,novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,Bicaudaviridae,Bicaudaviridae,,novel_subfamily_0_of_Bicaudaviridae,,novel_genus_1_of_novel_subfamily_0_of_Bicaudaviridae
NC_029103.1,Sulfolobus monocaudavirus SMV3,87,True,64.323,,Adnaviria,,novel_kingdom_0_of_Adnaviria,,novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,Bicaudaviridae,Bicaudaviridae,,novel_subfamily_0_of_Bicaudaviridae,,novel_genus_1_of_novel_subfamily_0_of_Bicaudaviridae
NC_029316.1,Acidianus tailed spindle virus,95,True,70.812,,Adnaviria,,novel_kingdom_0_of_Adnaviria,,novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,Bicaudaviridae,Bicaudaviridae,,novel_subfamily_0_of_Bicaudaviridae,,novel_genus_2_of_novel_subfamily_0_of_Bicaudaviridae
NC_028992.1,Sulfolobales Virus YNP2,60,True,34.783,,Adnaviria,,novel_kingdom_0_of_Adnaviria,,novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_family_0_of_novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_subfamily_0_of_novel_family_0_of_novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria
NC_029027.1,Sulfolobales virus YNP1,71,True,40.86,,Adnaviria,,novel_kingdom_0_of_Adnaviria,,novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_family_0_of_novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_subfamily_0_of_novel_family_0_of_novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria,,novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_0_of_novel_class_0_of_novel_phylum_0_of_novel_kingdom_0_of_Adnaviria
NC_062777.1,uncultured phage cr25_1,89,True,94.533,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Crevaviridae,Crevaviridae,Coarsevirinae,Coarsevirinae,Junduvirus,Junduvirus
NC_062779.1,uncultured phage cr2_1,88,True,95.815,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Crevaviridae,Crevaviridae,Coarsevirinae,Coarsevirinae,Junduvirus,Junduvirus
NC_062780.1,uncultured phage cr13_1,84,True,92.132,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Crevaviridae,Crevaviridae,Doltivirinae,Doltivirinae,Kingevirus,Kingevirus
NC_055828.1,Bacteroides phage crAss002,81,True,93.03,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Churivirinae,Churivirinae|Crudevirinae,Jahgtovirus,Jahgtovirus
NC_062769.1,uncultured phage cr36_1,82,True,96.466,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Churivirinae,Churivirinae|Crudevirinae,Jahgtovirus,Jahgtovirus
NC_062774.1,uncultured phage cr54_1,82,True,97.536,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Churivirinae,Churivirinae|Crudevirinae,Jahgtovirus,Jahgtovirus
OQ198719.1,Caudoviricetes sp. 'Rudgehvirus jaberico',84,True,90.575,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Churivirinae|Crudevirinae,,novel_genus_0_of_Churivirinae|Crudevirinae
NC_062771.1,uncultured phage cr99_1,94,True,98.001,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Carjivirus,Carjivirus
NC_067194.1,Carjivirus communis,88,True,97.065,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Carjivirus,Carjivirus
NC_062776.1,uncultured phage cr9_1,89,True,92.361,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Dabirmavirus,Dabirmavirus
NC_062766.1,uncultured phage cr123_1,86,True,92.241,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Delmidovirus,Delmidovirus
NC_062764.1,uncultured phage cr49_1,91,True,92.367,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Diorhovirus,Diorhovirus
NC_062770.1,uncultured phage cr91_1,90,True,93.391,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Drivevirus,Drivevirus
NC_062778.1,uncultured phage cr17_1,86,True,91.714,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Endlipuvirus,Endlipuvirus
NC_021806.1,Cellulophaga phage phi14:2,111,True,100.418,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Akihdevirus,Akihdevirus
NC_062773.1,uncultured phage cr44_1,93,True,93.564,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Kahnovirus,Kahnovirus
NC_049977.1,Bacteroides phage crAss001,104,True,102.679,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Kehishuvirus,Kehishuvirus
OQ198717_Bacteroides_cellulosilyticus_p,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Steigviridae,,Asinivirinae,,Kehishuvirus
NC_062768.1,uncultured phage cr151_1,111,True,100.314,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Kolpuevirus,Kolpuevirus
NC_062775.1,uncultured phage cr18_1,100,True,104.564,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Lebriduvirus,Lebriduvirus
NC_055832.1,Bacteroides phage DAC15,120,True,99.494,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Steigviridae,Steigviridae,Asinivirinae,Asinivirinae,Wulfhauvirus,Wulfhauvirus
OQ198718_Bacteroides_cellulosilyticus_p,,,False,,,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Steigviridae,,Asinivirinae,,novel_genus_0_of_Asinivirinae
NC_062772.1,uncultured phage cr77_1,99,True,99.704,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Suoliviridae,Suoliviridae,Boorivirinae,Boorivirinae,Canhaevirus,Canhaevirus
NC_062765.1,uncultured phage cr30_1,99,True,99.984,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Suoliviridae,Suoliviridae,Boorivirinae,Boorivirinae,Cohcovirus,Cohcovirus
NC_062767.1,uncultured phage cr149_1,100,True,100.971,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Suoliviridae,Suoliviridae,Boorivirinae,Boorivirinae,Culoivirus,Culoivirus
NC_055706.1,Azobacteroides phage ProJPt-Bp1,52,True,99.517,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Suoliviridae,Suoliviridae,,novel_subfamily_0_of_Suoliviridae,Dechshavirus,Dechshavirus
NC_031904.1,Flavobacterium phage Fpv3,79,True,88.421,Duplodnaviria,Duplodnaviria,Heunggongvirae,Heunggongvirae,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,,Crassvirales,,novel_family_0_of_Crassvirales,,novel_subfamily_0_of_novel_family_0_of_Crassvirales,Fipvunavirus,Fipvunavirus
